Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-SMD_L5.0-W5.5-P4.60,1,Buzzer,C94598
"C1, C13, C21, C5",0805,4,1µF,C28323
"C10, C11, C14, C15, C7, C9",0805,6,10µF,C15850
"C12, C4, C6, C8",0805,4,0.1µF,C1711
C2,0805,1,0.1uF,C1711
C22,0805,1,220pF,C472838
C3,0805,1,22uF,C602037
D1,0805,1,POWER,C143773
D2,D_SOD-123,1,D_Schottky,C190475
"D3, D4, D5",0603,3,D_TVS,C2649884
D6,0805,1,LED,C19171391
D7,0805,1,LED,C25170728
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
J2,Amphenol_F32Q-1A7x1-11015_1x15-1MP_P0.5mm_Horizontal,1,Conn_01x15,C3168240
J3,JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,1,Conn_01x02,C163033
"J4, J5",JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,2,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,C160391
L1,L_Coilcraft_LPS3010,1,1.5µH,C17382749
MK1,Knowles_SPH0645LM4H-6_3.5x2.65mm,1,SPH0645LM4H,C19190864
Q1,SOT-23,1,NPN,C81464
Q2,SOT-23,1,2N7002,C916396
"R1, R13, R23, R4, R7, R8, R9",0805,7,10K,C84376
"R10, R19",0805,2,100K,C149504
"R11, R15",0805,2,1K,C17513
R12,0805,1,8.2,C2930335
R14,0805,1,2.2K,C17520
R16,0805,1,0.4,C3000778
R17,0805,1,5K,C2828783
R18,0805,1,33K,C17633
"R2, R24",0805,2,68,C17802
R3,0805,1,0,C17477
"R5, R6",0805,2,5.1K,C27834
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C720477
"SW3, SW4",SW_THT_Right_Angle_118250274,2,SW_Push,C2928195
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSM,C94048
U4,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,C37663
U5,SOT-89-3,1,MCP1700x-300xxMB,C57883
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U7,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63031DSK,C15516
