Designator,Mid X,Mid Y,Rotation,Layer
BZ1,97.5,-86.5,90.0,bottom
C1,88.0,-85.5,315.0,top
C10,112.2,-94.2,270.0,bottom
C11,85.0,-108.7,180.0,bottom
C12,92.4,-108.1,270.0,bottom
C13,108.5,-111.05,90.0,top
C14,94.0,-113.0,180.0,bottom
C15,97.0,-110.0,270.0,top
C2,84.084878,-87.95139,128.0,bottom
C21,130.3,-100.775,90.0,top
C22,128.324,-100.775,90.0,top
C3,84.8,-92.0,90.0,top
C4,82.0,-93.6,180.0,top
C5,93.05,-90.18,180.0,bottom
C6,118.322724,-103.5,330.0,top
C7,113.5425,-98.1,90.0,bottom
C8,115.7,-98.1,90.0,bottom
C9,114.2,-94.4,270.0,bottom
D1,101.2,-85.2,90.0,bottom
D2,88.0,-107.2,90.0,bottom
D3,88.9,-104.0,0.0,bottom
D4,88.5,-99.75,180.0,bottom
D5,88.5,-101.5,180.0,bottom
D6,105.5625,-118.5,0.0,bottom
D7,90.959752,-114.878686,210.0,bottom
J1,82.5,-100.0,270.0,top
J2,100.0,-117.5,0.0,top
J3,118.2,-98.95,90.0,top
J4,84.9,-109.551796,120.0,top
J5,127.25,-96.35,0.0,top
L1,111.7,-95.8,90.0,top
MK1,125.762,-101.065,0.0,top
Q1,94.5,-95.8,270.0,bottom
Q2,100.05,-110.9375,90.0,top
R1,86.4,-87.2,315.0,top
R10,100.0,-107.5,0.0,top
R11,103.0,-109.0,270.0,top
R12,106.0,-111.05,270.0,top
R13,111.5,-102.5,270.0,top
R14,93.5,-117.5,0.0,bottom
R15,89.709752,-117.04375,30.0,bottom
R16,89.6,-111.3,0.0,bottom
R17,106.0,-115.5,270.0,bottom
R18,90.0,-90.5875,270.0,bottom
R19,89.354765,-96.854765,45.0,bottom
R2,103.3,-85.2,90.0,bottom
R23,125.7,-104.075,0.0,top
R24,129.1125,-104.075,0.0,top
R3,86.7,-85.2,320.0,bottom
R4,93.02,-88.0,180.0,bottom
R5,81.0,-98.5,180.0,bottom
R6,83.6,-106.3,0.0,bottom
R7,94.5875,-98.95,0.0,bottom
R8,99.5,-96.5,270.0,bottom
R9,97.5,-96.5875,90.0,bottom
SW1,84.8,-92.0,180.0,bottom
SW2,115.5,-102.4,0.0,bottom
SW3,115.8979826736843,-109.36375,60.0,top
SW4,115.8979826736843,-90.63625,120.0,top
U1,100.0,-90.0,0.0,top
U2,96.5,-106.5,0.0,top
U4,106.38,-100.9725,90.0,bottom
U5,107.0,-106.05,270.0,top
U6,99.7,-118.199999,270.0,bottom
U7,114.8,-99.6,90.0,top
